,VALINE,LEUCINE,ISOLEUCINE,METHIONINE,PHENYLALANINE,TRYPTOPHAN,TYROSINE,GLYCINE,ALANINE,PROLINE,SERINE,THREONINE,CYSTEINE,HISTIDINE,ARGININE,LYSINE,GLUTAMINE,GLUTAMIC_ACID,ASPARAGINE,ASPARTIC_ACID
VALINE,0.940000,1.740000,2.770000,1.660000,1.190000,0.640000,0.810000,0.670000,1.090000,0.840000,0.680000,0.850000,0.460000,0.670000,0.710000,0.730000,0.660000,0.720000,0.430000,0.470000
LEUCINE,1.740000,0.930000,2.400000,3.190000,2.330000,1.100000,0.950000,0.430000,0.730000,0.490000,0.630000,0.790000,0.190000,0.750000,0.820000,0.740000,0.800000,0.390000,0.530000,0.490000
ISOLEUCINE,2.770000,2.400000,0.890000,1.770000,1.250000,1.010000,0.940000,0.390000,0.670000,0.580000,0.660000,0.960000,0.240000,0.610000,0.430000,0.360000,0.300000,0.420000,0.380000,0.250000
METHIONINE,1.660000,3.190000,1.770000,1.040000,1.820000,0.440000,0.730000,0.330000,0.950000,0.340000,0.790000,1.260000,0.790000,1.150000,0.400000,0.610000,0.960000,0.550000,0.660000,0.610000
PHENYLALANINE,1.190000,2.330000,1.250000,1.820000,0.860000,3.280000,5.360000,0.100000,0.600000,0.430000,0.620000,0.560000,0.000000,1.430000,0.500000,0.270000,0.080000,0.270000,0.250000,0.340000
TRYPTOPHAN,0.640000,1.100000,1.010000,0.440000,3.280000,0.840000,5.090000,0.570000,0.410000,0.000000,0.910000,0.680000,0.570000,0.830000,0.880000,0.530000,0.700000,0.590000,0.180000,0.330000
TYROSINE,0.810000,0.950000,0.940000,0.730000,5.360000,5.090000,0.830000,0.290000,0.440000,0.250000,0.810000,0.590000,0.380000,1.380000,0.680000,0.570000,0.390000,0.590000,0.660000,0.550000
GLYCINE,0.670000,0.430000,0.390000,0.330000,0.100000,0.570000,0.290000,0.840000,1.200000,0.970000,1.100000,0.760000,0.430000,0.680000,0.880000,0.910000,0.730000,1.220000,1.240000,1.200000
ALANINE,1.090000,0.730000,0.670000,0.950000,0.600000,0.410000,0.440000,1.200000,1.020000,1.390000,1.460000,1.280000,0.370000,0.850000,0.750000,0.970000,1.070000,1.450000,0.850000,0.840000
PROLINE,0.840000,0.490000,0.580000,0.340000,0.430000,0.000000,0.250000,0.970000,1.390000,0.880000,1.210000,0.960000,0.300000,0.870000,0.920000,0.930000,0.970000,1.450000,0.370000,0.870000
SERINE,0.680000,0.630000,0.660000,0.790000,0.620000,0.910000,0.810000,1.100000,1.460000,1.210000,1.180000,2.080000,0.720000,1.090000,1.480000,1.220000,1.300000,1.300000,1.860000,1.210000
THREONINE,0.850000,0.790000,0.960000,1.260000,0.560000,0.680000,0.590000,0.760000,1.280000,0.960000,2.080000,1.130000,0.650000,1.310000,1.050000,1.270000,1.230000,1.330000,1.100000,1.020000
CYSTEINE,0.460000,0.190000,0.240000,0.790000,0.000000,0.570000,0.380000,0.430000,0.370000,0.300000,0.720000,0.650000,0.400000,0.740000,0.520000,0.160000,0.140000,0.120000,0.430000,0.500000
HISTIDINE,0.670000,0.750000,0.610000,1.150000,1.430000,0.830000,1.380000,0.680000,0.850000,0.870000,1.090000,1.310000,0.740000,1.080000,2.290000,1.440000,1.410000,0.690000,1.560000,1.300000
ARGININE,0.710000,0.820000,0.430000,0.400000,0.500000,0.880000,0.680000,0.880000,0.750000,0.920000,1.480000,1.050000,0.520000,2.290000,1.110000,2.640000,2.130000,1.210000,1.150000,0.660000
LYSINE,0.730000,0.740000,0.360000,0.610000,0.270000,0.530000,0.570000,0.910000,0.970000,0.930000,1.220000,1.270000,0.160000,1.440000,2.640000,1.020000,1.480000,1.430000,1.320000,0.970000
GLUTAMINE,0.660000,0.800000,0.300000,0.960000,0.080000,0.700000,0.390000,0.730000,1.070000,0.970000,1.300000,1.230000,0.140000,1.410000,2.130000,1.480000,1.110000,2.700000,1.440000,1.370000
GLUTAMIC_ACID,0.720000,0.390000,0.420000,0.550000,0.270000,0.590000,0.590000,1.220000,1.450000,1.450000,1.300000,1.330000,0.120000,0.690000,1.210000,1.430000,2.700000,1.210000,1.300000,2.730000
ASPARAGINE,0.430000,0.530000,0.380000,0.660000,0.250000,0.180000,0.660000,1.240000,0.850000,0.370000,1.860000,1.100000,0.430000,1.560000,1.150000,1.320000,1.440000,1.300000,1.030000,1.840000
ASPARTIC_ACID,0.470000,0.490000,0.250000,0.610000,0.340000,0.330000,0.550000,1.200000,0.840000,0.870000,1.210000,1.020000,0.500000,1.300000,0.660000,0.970000,1.370000,2.730000,1.840000,0.990000